season,home_team_score,visitor_team_score,home_team.id,visitor_team.id,home_team_wins,visitor_team_wins
2018,117,113,1,14,1,0
2018,109,112,23,2,0,1
2018,107,108,15,27,0,1
2018,88,118,19,22,0,1
2018,115,108,10,29,1,0
2018,134,107,13,24,1,0
2018,129,107,25,10,1,0
2018,120,118,8,26,1,0
2018,101,112,7,16,0,1
2018,121,111,18,11,1,0
2018,122,110,5,15,1,0
2018,129,120,28,30,1,0
2018,111,126,20,23,0,1
2018,118,110,2,9,1,0
2018,97,106,12,17,0,1
2018,139,148,6,3,0,1
2018,91,106,1,20,0,1
2018,131,122,19,21,1,0
2018,127,89,22,4,1,0
2018,125,123,10,26,1,0
2018,98,97,17,2,1,0
2018,111,106,14,11,1,0
2018,106,102,23,16,1,0
2018,111,98,6,24,1,0
2018,99,113,3,25,0,1
2018,148,147,21,29,1,0
2018,104,114,7,8,0,1
2018,106,112,15,13,0,1
2018,104,115,20,18,0,1
2018,122,125,1,9,0,1
2018,123,110,4,30,1,0
2018,120,117,28,27,1,0
2018,109,110,22,5,0,1
2018,126,111,12,19,1,0
2018,96,119,16,9,0,1
2018,125,109,29,7,1,0
2018,112,118,10,11,0,1
2018,140,128,17,18,1,0
2018,116,119,21,26,0,1
2018,126,116,5,2,1,0
2018,128,115,19,14,1,0
2018,120,112,1,24,1,0
2018,115,130,23,25,0,1
2018,112,119,30,12,0,1
2018,112,107,6,15,1,0
2018,115,117,4,3,0,1
2018,123,96,8,13,1,0
2018,130,118,20,27,1,0
2018,98,113,28,22,0,1
2018,121,112,13,7,1,0
2018,110,111,19,23,0,1
2018,112,105,18,26,1,0
2018,110,105,15,14,1,0
2018,119,111,11,1,1,0
2018,106,117,5,17,0,1
2018,121,124,16,24,0,1
2018,113,109,9,12,1,0
2018,110,123,6,25,0,1
2018,110,121,4,10,0,1
2018,101,85,3,27,1,0
2018,108,103,20,22,1,0
2018,118,95,28,2,1,0
2018,121,112,8,21,1,0
2018,110,101,7,12,1,0
2018,125,119,14,19,1,0
2018,140,141,26,17,0,1
2018,111,105,29,13,1,0
